"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"9155",2015,9,"AA","American Airlines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",758,115,1,0,4997,1989,286,1266,15,1441
"3154",2015,3,"OO","SkyWest Airlines Inc.","SUN","Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",120,12,0,9,581,366,0,74,0,141
"2737",2015,3,"EV","ExpressJet Airlines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",1039,178,66,0,12448,3560,851,2114,0,5923
"2962",2015,3,"MQ","Envoy Air","SGF","Springfield, MO: Springfield-Branson National",366,103,15,1,5205,2387,401,804,37,1576
"1620",2015,2,"EV","ExpressJet Airlines Inc.","DIK","Dickinson, ND: Dickinson - Theodore Roosevelt Regional",48,15,3,2,1050,533,0,306,0,211
"13007",2015,12,"MQ","Envoy Air","RIC","Richmond, VA: Richmond International",107,16,2,1,761,217,115,188,0,241
"7122",2015,7,"B6","JetBlue Airways","ANC","Anchorage, AK: Ted Stevens Anchorage International",124,32,0,0,1378,382,0,306,0,690
"5651",2015,5,"US","US Airways Inc.","JAX","Jacksonville, FL: Jacksonville International",236,21,0,0,1256,756,0,117,3,380
"6580",2015,6,"OO","SkyWest Airlines Inc.","GEG","Spokane, WA: Spokane International",216,27,2,0,1547,637,42,81,0,787
"11098",2015,10,"OO","SkyWest Airlines Inc.","ABR","Aberdeen, SD: Aberdeen Regional",71,11,0,0,386,202,0,43,0,141
"9949",2015,9,"EV","ExpressJet Airlines Inc.","GJT","Grand Junction, CO: Grand Junction Regional",30,1,0,0,17,2,0,15,0,0
"8606",2015,8,"F9","Frontier Airlines Inc.","MKE","Milwaukee, WI: General Mitchell International",31,4,0,0,164,31,0,36,0,97
"382",2015,1,"EV","ExpressJet Airlines Inc.","MSN","Madison, WI: Dane County Regional-Truax Field",206,50,7,0,2680,847,249,416,0,1168
"9425",2015,9,"DL","Delta Air Lines Inc.","PDX","Portland, OR: Portland International",508,50,0,0,2123,812,114,418,0,779
